Contract Data Analyst,$37K-$68K (Glassdoor est.),-1,"Amyx, Iinc.","San Antonio, TX",-1,-1,-1,-1,-1
Epidemiology Data Analyst,$37K-$68K (Glassdoor est.),2.8,"NJVC
2.8","San Antonio, TX","Chantilly, VA",1001 to 5000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Data Business Solutions Analyst,$37K-$68K (Glassdoor est.),3.7,"Randstad
3.7","San Antonio, TX","Atlanta, GA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Analyst,$37K-$68K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","San Antonio, TX","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Risk Data Analyst,$37K-$68K (Glassdoor est.),3,"Deacon Recruiting
3.0","San Antonio, TX","San Antonio, TX",1 to 50 employees,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Contract Data Analyst,$37K-$68K (Glassdoor est.),4,"Amyx, Inc.
4.0","San Antonio, TX","Reston, VA",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Senior Data Analyst,$37K-$68K (Glassdoor est.),4.5,"Scaleworks
4.5","San Antonio, TX","San Antonio, TX",1 to 50 employees,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Senior Data Analyst,$37K-$68K (Glassdoor est.),3.5,"HCL Technologies Ltd.
3.5","San Antonio, TX","Noida, India",10000+ employees,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Data Analyst,$37K-$68K (Glassdoor est.),3.3,"CDO Technologies Inc
3.3","San Antonio, TX","Dayton, OH",201 to 500 employees,Computer Hardware & Software,Information Technology,$50 to $100 million (USD)
"Epidemiology/Data Analyst, San Antonio, TX, US, ID",$37K-$68K (Glassdoor est.),-1,Cherokee Federal,"San Antonio, TX","Rusk, TX",1 to 50 employees,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Senior Data Analyst,$37K-$68K (Glassdoor est.),4.1,"Kforce
4.1","San Antonio, TX","Tampa, FL",10000+ employees,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
Senior Data Science Analyst,$37K-$68K (Glassdoor est.),2.9,"PETCO
2.9","San Antonio, TX","San Diego, CA",10000+ employees,Pet & Pet Supplies Stores,Retail,$2 to $5 billion (USD)
"Data Analyst ( SAS,SQL)",$37K-$68K (Glassdoor est.),3.7,"eTeam Inc.
3.7","San Antonio, TX","South Plainfield, NJ",51 to 200 employees,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Data Analyst - Top Secret w/ SCI Eligibility,$37K-$68K (Glassdoor est.),4,"LMI
4.0","San Antonio, TX","Tysons, VA",1001 to 5000 employees,Consulting,Business Services,$100 to $500 million (USD)
Epidemiology/Data Analyst,$37K-$68K (Glassdoor est.),4,"CAMRIS International
4.0","San Antonio, TX","Bethesda, MD",201 to 500 employees,Federal Agencies,Government,$50 to $100 million (USD)
Epidemiology Data Analyst,$37K-$68K (Glassdoor est.),3.5,"General Dynamics Information Technology
3.5","Lackland AFB, TX","Fairfax, VA",10000+ employees,IT Services,Information Technology,$10+ billion (USD)
Senior Data Analyst,$73K-$89K (Glassdoor est.),3.3,"Convene Technologies
3.3","San Antonio, TX","Tampa, FL",51 to 200 employees,IT Services,Information Technology,Unknown / Non-Applicable
Data Security Analyst,$73K-$89K (Glassdoor est.),-1,Cyber Warrior Network,"San Antonio, TX","San Antonio, TX",1 to 50 employees,IT Services,Information Technology,Unknown / Non-Applicable
Data Security Analyst,$73K-$89K (Glassdoor est.),2.6,"nana
2.6","San Antonio, TX","Kotzebue, AK",1001 to 5000 employees,Social Assistance,Non-Profit,$2 to $5 billion (USD)
Data Security Analyst,$73K-$89K (Glassdoor est.),3.3,"Akima Management Services
3.3","San Antonio, TX","Herndon, VA",5001 to 10000 employees,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
Data Analyst/Engineers,$73K-$89K (Glassdoor est.),3.9,"Diverse Lynx
3.9","San Antonio, TX","Princeton, NJ",501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Senior Contract Data Analyst,$73K-$89K (Glassdoor est.),-1,"Amyx, Iinc.","San Antonio, TX",-1,-1,-1,-1,-1
Epidemiology Data Analyst,$73K-$89K (Glassdoor est.),3.8,"Chenega Healthcare Services
3.8","San Antonio, TX","San Antonio, TX",501 to 1000 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
IT Data Science Analyst,$73K-$89K (Glassdoor est.),4.1,"Kforce
4.1","San Antonio, TX","Tampa, FL",10000+ employees,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
"Configuration Data Analyst, (Secret Clearance Required) San Antonio, TX, US ID",$73K-$89K (Glassdoor est.),3.2,"Cherokee Nation Businesses, LLC
3.2","San Antonio, TX","Catoosa, OK",1001 to 5000 employees,Accounting,Accounting & Legal,$500 million to $1 billion (USD)
TECHNICAL DATA ANALYST,$73K-$89K (Glassdoor est.),3.8,"Spectrum Comm
3.8","Lackland AFB, TX","Newport News, VA",51 to 200 employees,Aerospace & Defense,Aerospace & Defense,$25 to $50 million (USD)
Senior Contract Data Analyst,$73K-$89K (Glassdoor est.),4,"Amyx, Inc.
4.0","San Antonio, TX","Reston, VA",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
"Configuration Data Analyst, (Secret Clearance Required) San An with Security Clearance",$73K-$89K (Glassdoor est.),-1,Cherokee Federal,"San Antonio, TX","Rusk, TX",1 to 50 employees,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Senior Risk Analyst-Data,$73K-$89K (Glassdoor est.),3.9,"Peyton Resource Group
3.9","San Antonio, TX","Irving, TX",1 to 50 employees,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Functional Analyst (CECL Data),$73K-$89K (Glassdoor est.),4.4,"Softcom Systems
4.4","San Antonio, TX","Princeton, NJ",1 to 50 employees,IT Services,Information Technology,$1 to $5 million (USD)
Data Analyst with Security Clearance,$73K-$89K (Glassdoor est.),3.3,"CDO Technologies Inc
3.3","San Antonio, TX","Dayton, OH",201 to 500 employees,Computer Hardware & Software,Information Technology,$50 to $100 million (USD)
"Configuration Data Analyst, San Antonio, TX, US ID#17897 with Security Clearance",$73K-$89K (Glassdoor est.),-1,Cherokee Federal,"Fort Sam Houston, TX","Rusk, TX",1 to 50 employees,Banks & Credit Unions,Finance,Unknown / Non-Applicable
"(REMOTE) Sr. Risk Analyst (IT, IS and/or Data expertise)",$73K-$89K (Glassdoor est.),3.1,"Strategic Staffing Solutions
3.1","San Antonio, TX","Detroit, MI",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
"Sr. Risk Analyst (IT, IS and/or Data expertise)",$73K-$89K (Glassdoor est.),3.1,"Strategic Staffing Solutions
3.1","San Antonio, TX","Detroit, MI",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Navy Maintenance Data Systems Analyst,$76K-$122K (Glassdoor est.),3.6,"CACI International
3.6","San Diego, CA","Arlington, VA",10000+ employees,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD)
Data Analyst,$76K-$122K (Glassdoor est.),3.3,"Midland Credit Management
3.3","San Diego, CA","San Diego, CA",1001 to 5000 employees,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
Research Data Analyst,$76K-$122K (Glassdoor est.),4.3,"UC San Diego
4.3","San Diego, CA","La Jolla, CA",10000+ employees,Colleges & Universities,Education,Unknown / Non-Applicable
Data Analyst II,$76K-$122K (Glassdoor est.),3,"HealthStream
3.0","San Diego, CA","Nashville, TN",501 to 1000 employees,Education Training Services,Education,$100 to $500 million (USD)
Data Analyst,$76K-$122K (Glassdoor est.),4.5,"Conflux Systems Inc.
4.5","San Diego, CA","Alpharetta, GA",1 to 50 employees,Accounting,Accounting & Legal,Less than $1 million (USD)
Data Analyst,$76K-$122K (Glassdoor est.),3.7,"22nd Century Technologies
3.7","San Diego, CA","Somerset, NJ",1001 to 5000 employees,IT Services,Information Technology,$25 to $50 million (USD)
Division Data and Financial Analyst,$76K-$122K (Glassdoor est.),4.2,"University of California
4.2","San Diego, CA","Oakland, CA",10000+ employees,Colleges & Universities,Education,$5 to $10 billion (USD)
Research Data Analyst,$76K-$122K (Glassdoor est.),3.7,"University of California - San Diego Medical Centers
3.7","San Diego, CA","San Diego, CA",10000+ employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst 3,$76K-$122K (Glassdoor est.),4,"BD (Becton, Dickinson and Company)
4.0","San Diego, CA",-1,Unknown,-1,-1,Unknown / Non-Applicable
Data Analyst,$76K-$122K (Glassdoor est.),3.4,"Client Solution Architects
3.4","San Diego, CA","Mechanicsburg, PA",201 to 500 employees,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
Data Analyst,$76K-$122K (Glassdoor est.),4.2,"Cue
4.2","San Diego, CA","San Diego, CA",51 to 200 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Junior Data Analyst,$76K-$122K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","San Diego, CA","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst,$76K-$122K (Glassdoor est.),3.2,"Encore Capital Group
3.2","San Diego, CA","San Diego, CA",5001 to 10000 employees,Financial Analytics & Research,Finance,$1 to $2 billion (USD)
Data Analyst - VerityStream,$76K-$122K (Glassdoor est.),3,"HealthStream
3.0","San Diego, CA","Nashville, TN",501 to 1000 employees,Education Training Services,Education,$100 to $500 million (USD)
Data Analyst,$76K-$122K (Glassdoor est.),4.4,"ProMedia
4.4","San Diego, CA","Miami, FL",1 to 50 employees,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Senior Data Analyst,$76K-$122K (Glassdoor est.),3.4,"Axos Bank
3.4","San Diego, CA","San Diego, CA",1001 to 5000 employees,Banks & Credit Unions,Finance,$500 million to $1 billion (USD)
Business Data Analyst (SQL / Tableau),$76K-$122K (Glassdoor est.),4.8,"Sayva Solutions
4.8","San Diego, CA","La Jolla, CA",51 to 200 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data & Business Intelligence Analyst,$76K-$122K (Glassdoor est.),5,"The Rock Church
5.0","San Diego, CA","Fenton, MI",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Fleet Optimization Data Analyst (Solar + Storage),$76K-$122K (Glassdoor est.),3.2,"Stem
3.2","San Diego, CA","Millbrae, CA",51 to 200 employees,Energy,"Oil, Gas, Energy & Utilities",$25 to $50 million (USD)
Data Analyst,$76K-$122K (Glassdoor est.),3.8,"Tandem Diabetes
3.8","San Diego, CA","San Diego, CA",1001 to 5000 employees,Health Care Products Manufacturing,Manufacturing,$50 to $100 million (USD)
Data Steward/Configuration Analyst,$76K-$122K (Glassdoor est.),3.9,"Illumina
3.9","San Diego, CA","San Diego, CA",5001 to 10000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Administrative Assistant / Data Analyst Supporting the DEA #20-318,$76K-$122K (Glassdoor est.),2.8,"Forfeiture Support Associates
2.8","San Diego, CA","Ashburn, VA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Data Manager - Bioinformatics Analyst (Naval Health Center),$76K-$122K (Glassdoor est.),3.5,"General Dynamics
3.5","San Diego, CA","Reston, VA",10000+ employees,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Analyst,$76K-$122K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","San Diego, CA","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst III,$76K-$122K (Glassdoor est.),3.5,"Potomac Management
3.5","San Diego, CA","Hagerstown, MD",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Data Analyst,$76K-$122K (Glassdoor est.),-1,Operation Samahan Health Clinic,"National City, CA",-1,-1,-1,-1,-1
Data Privacy Analyst,$76K-$122K (Glassdoor est.),3.5,"Dexcom, Inc.
3.5","San Diego, CA","San Diego, CA",1001 to 5000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
"Data Analyst 3 (San Diego or Atlanta, GA)",$76K-$122K (Glassdoor est.),3.6,"BD
3.6","San Diego, CA","Franklin Lakes, NJ",10000+ employees,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
"Research Scientist, Structural Biologist - CryoEM Data Analyst",$60K-$124K (Glassdoor est.),3.3,"Vertex Pharmaceuticals
3.3","San Diego, CA","Boston, MA",1001 to 5000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Systems Analyst - Data Integration and ETL process,$60K-$124K (Glassdoor est.),3.4,"Kelly
3.4","San Diego, CA","Troy, MI",5001 to 10000 employees,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD)
Senior Consulting Data Analyst,$60K-$124K (Glassdoor est.),4,"Kaiser Permanente
4.0","San Diego, CA","Oakland, CA",10000+ employees,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
Senior Data Analyst,$60K-$124K (Glassdoor est.),3.9,"Illumina
3.9","San Diego, CA","San Diego, CA",5001 to 10000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
#105009 Research Data Analyst,$60K-$124K (Glassdoor est.),4.3,"UC San Diego
4.3","San Diego, CA","La Jolla, CA",10000+ employees,Colleges & Universities,Education,Unknown / Non-Applicable
Automotive eCommerce Data Analyst - Remote,$60K-$124K (Glassdoor est.),4.2,"Web Shop Manager
4.2","San Diego, CA","San Diego, CA",1 to 50 employees,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Sr. Data Analyst,$60K-$124K (Glassdoor est.),4.6,"Housecall Pro
4.6","San Diego, CA","San Diego, CA",51 to 200 employees,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Senior Technical Data Analyst,$60K-$124K (Glassdoor est.),4.4,"Intuit
4.4","San Diego, CA","Mountain View, CA",5001 to 10000 employees,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD)
Data Governance Analyst,$60K-$124K (Glassdoor est.),-1,The RiverStone Group,"San Diego, CA","Towanda, PA",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Division Data and Financial Analyst,$60K-$124K (Glassdoor est.),3.7,"University of California - San Diego Medical Centers
3.7","San Diego, CA","San Diego, CA",10000+ employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst III (Healthcare Analytics),$60K-$124K (Glassdoor est.),2.3,"Interpreta
2.3","San Diego, CA","San Diego, CA",1 to 50 employees,-1,-1,$10 to $25 million (USD)
Senior Business Data Analyst,$60K-$124K (Glassdoor est.),4.4,"Intuit
4.4","San Diego, CA","Mountain View, CA",5001 to 10000 employees,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD)
Data Analyst III (Healthcare Analytics),$60K-$124K (Glassdoor est.),3.3,"Centene Corporation
3.3","San Diego, CA","Saint Louis, MO",10000+ employees,Insurance Carriers,Insurance,$10+ billion (USD)
Data Analyst - VerityStream,$60K-$124K (Glassdoor est.),4.1,"Verity, A HealthStream Company
4.1","San Diego, CA","Boulder, CO",201 to 500 employees,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Automotive eCommerce Data Analyst,$60K-$124K (Glassdoor est.),4.2,"Web Shop Manager
4.2","San Diego, CA","San Diego, CA",1 to 50 employees,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Data Analyst IV,$60K-$124K (Glassdoor est.),3.5,"Potomac Management
3.5","San Diego, CA","Hagerstown, MD",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Division Data and Financial Analyst,$60K-$124K (Glassdoor est.),4.3,"UC San Diego
4.3","San Diego, CA","La Jolla, CA",10000+ employees,Colleges & Universities,Education,Unknown / Non-Applicable
Data Analyst Junior,$60K-$124K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","San Diego, CA","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
SWRMC Assessments Junior Data Analyst,$60K-$124K (Glassdoor est.),3.2,"Amentum
3.2","San Diego, CA","Germantown, MD",10000+ employees,-1,-1,Unknown / Non-Applicable
Business Data Analyst III,$60K-$124K (Glassdoor est.),3.5,"Russell Tobin & Associates
3.5","San Diego, CA","New York, NY",51 to 200 employees,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
C4I Data Analyst/Engineer,$60K-$124K (Glassdoor est.),3.3,"Perspecta
3.3","San Diego, CA","Chantilly, VA",10000+ employees,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
Molecular Researcher and Data Analyst,$60K-$124K (Glassdoor est.),4.3,"UC San Diego
4.3","San Diego, CA","La Jolla, CA",10000+ employees,Colleges & Universities,Education,Unknown / Non-Applicable
Health Data Analyst IV,$60K-$124K (Glassdoor est.),2.5,"MedImpact
2.5","San Diego, CA","San Diego, CA",1001 to 5000 employees,Wholesale,Business Services,$10 to $25 million (USD)
Information Security and Data Privacy Analyst,$60K-$124K (Glassdoor est.),-1,Gossamer Bio,"San Diego, CA","San Diego, CA",51 to 200 employees,-1,-1,Unknown / Non-Applicable
IT DATA ANALYST- Information Technology,$60K-$124K (Glassdoor est.),3.3,"Sycuan Casino
3.3","El Cajon, CA","El Cajon, CA",1001 to 5000 employees,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
"7232 Data Engineer (Analyst/Programmer - Career), Information Technology DevOps",$60K-$124K (Glassdoor est.),4.1,"California State University
4.1","San Diego, CA","Long Beach, CA",10000+ employees,Colleges & Universities,Education,$2 to $5 billion (USD)
Systems Analyst - Data Integration,$60K-$124K (Glassdoor est.),3.7,"Sunrise Systems, Inc.
3.7","San Diego, CA","Edison, NJ",501 to 1000 employees,IT Services,Information Technology,$25 to $50 million (USD)
Molecular Researcher and Data Analyst,$60K-$124K (Glassdoor est.),3.7,"University of California - San Diego Medical Centers
3.7","San Diego, CA","San Diego, CA",10000+ employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst - EDSS,$60K-$124K (Glassdoor est.),4.2,"World Wide Technology
4.2","San Diego, CA","Maryland Heights, MO",5001 to 10000 employees,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Sr. Data Governance Analyst,$60K-$124K (Glassdoor est.),4.9,"The Carrera Agency
4.9","San Diego, CA","Aliso Viejo, CA",51 to 200 employees,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Data Manager - Bioinformatics Analyst (Naval Health Center),$60K-$124K (Glassdoor est.),3.5,"General Dynamics Information Technology
3.5","San Diego, CA","Fairfax, VA",10000+ employees,IT Services,Information Technology,$10+ billion (USD)
